gene_symbol,n_lines_expression,mean_log_tpm,median_log_tpm,frac_expressed,frac_high_expressed
FBXL16,1775,1.7855365086377464,1.5008581,0.6005633802816901,0.23211267605633804
ZNF598,1775,4.686621160422535,4.7152452,0.9994366197183099,0.9853521126760564
DCUN1D4,1775,4.598037295397184,4.6819158,0.9977464788732394,0.9633802816901409
TRIM45,1775,1.98199272784,1.9331912,0.8704225352112676,0.11492957746478873
WDR77,1775,5.05376664,5.0913954,1.0,0.9938028169014085
UBE2Q2,1775,4.493675489988732,4.503565,0.9954929577464788,0.971830985915493
RNF14,1775,5.283875233183099,5.3113,1.0,0.9932394366197184
TNFAIP3,1775,2.9360313797785915,2.7723482,0.8777464788732394,0.4326760563380282
PIAS4,1775,3.6082072519436617,3.627315,0.9994366197183099,0.8185915492957746
LNX1,1775,1.2686203465487322,0.9239516,0.48169014084507045,0.0771830985915493
NOSIP,1775,5.664642279605634,5.652687,1.0,1.0
KLHL10,1775,0.08774073071549295,0.05360073,0.0022535211267605635,0.0
DYRK2,1775,3.6986523888450704,3.6885386,1.0,0.8045070422535211
FBXL8,1775,2.7283363431464784,2.7211626,0.9645070422535211,0.37577464788732395
HLTF,1775,4.617808036739718,4.82024,0.9729577464788732,0.9177464788732395
XIAP,1775,3.9512723396090137,3.9833128,0.9988732394366198,0.9154929577464789
IRF2BPL,1775,3.63417938352676,3.723362,0.9954929577464788,0.7481690140845071
UBE2J2,1775,5.340145509239437,5.38521,1.0,0.9994366197183099
RNFT1,1775,4.306068707797183,4.337547,0.9994366197183099,0.9363380281690141
TRIM35,1775,2.971501214738028,2.9772213,0.9983098591549295,0.48225352112676056
KLHDC10,1775,4.049714868,4.1071186,1.0,0.9104225352112676
RNF144B,1775,1.9160698551014084,1.6178768,0.6208450704225352,0.24901408450704227
HERC3,1775,2.5676793202140846,2.589567,0.9554929577464789,0.3323943661971831
MALT1,1775,3.7094702767492955,3.7266896,0.9938028169014085,0.7611267605633802
NEURL2,1775,1.1752898737543662,1.1024969,0.5673239436619718,0.007323943661971831
KBTBD4,1775,3.806746228450704,3.853407,1.0,0.9030985915492957
RNF123,1775,4.095676848619719,4.1321077,1.0,0.9554929577464789
TRIM10,1775,0.17910098807661973,0.007024665,0.061971830985915494,0.005633802816901409
NLRP12,1775,0.09364791507380282,0.006206091,0.029859154929577466,0.003943661971830986
PJA1,1775,3.9880482800135217,4.1164646,0.9791549295774647,0.8732394366197183
TRIM63,1775,0.34609642758535214,0.01571022,0.06929577464788732,0.04676056338028169
TOMM5,1775,7.654195186647887,7.681801,1.0,1.0
RNF40,1775,5.454889396901407,5.470534,1.0,0.9988732394366198
KBTBD6,1775,2.727401312028169,2.687587,0.9949295774647887,0.3312676056338028
TRIM49B,1775,0.042427017966760565,0.0,0.010704225352112675,0.0022535211267605635
DTX2,1775,3.6518264654647887,3.5468204,1.0,0.7459154929577465
MED12,1775,3.6706277986140847,3.6912103,0.9966197183098592,0.7892957746478874
ZSWIM2,1775,0.04259638790816902,0.0,0.005633802816901409,0.0005633802816901409
MED27,1775,5.001011603211268,4.9776735,1.0,0.992112676056338
FBXL5,1775,4.966379388169014,4.9823637,1.0,0.9949295774647887
OBI1,1775,3.526028701126761,3.4767964,0.9994366197183099,0.7549295774647887
TRIM6,1775,1.9513099495892956,1.9219618,0.6445070422535212,0.29126760563380283
KLHDC3,1775,5.642024490929577,5.6415663,1.0,0.9994366197183099
DCAF17,1775,3.5438892795098593,3.5805073,0.9983098591549295,0.8230985915492958
CDC16,1775,5.372299921126761,5.378848,1.0,0.9994366197183099
UBE2G1,1775,5.178557078309859,5.211838,1.0,0.992112676056338
TRIM33,1775,4.016912312676056,4.024559,1.0,0.9267605633802817
PHF23,1775,5.09577592,5.1513395,1.0,0.9954929577464788
BTBD18,1775,0.055201564459154924,0.038523275,0.0,0.0
TRIM21,1775,3.2576383229166197,3.3719046,0.9690140845070423,0.6552112676056338
UHRF1,1775,4.611470297010141,4.7017817,0.9949295774647887,0.9025352112676056
ZBTB44,1775,3.639387928676056,3.6168869,1.0,0.7701408450704226
TRIM9,1775,1.2860952818197184,0.69622,0.41464788732394364,0.14535211267605633
